Trial,Greedy Size,Greedy Time,Random Size,Random Time,Maximal Size,Maximal Time
113,49,0.00013279999257065356,49,0.00011639999866019934,53,9.470000804867595e-05
114,46,0.00011660000018309802,51,0.00010689999908208847,51,9.000000136438757e-05
115,51,0.00011329998960718513,52,0.00010620000830385834,48,8.129999332595617e-05
116,53,0.00011850000009872019,54,0.00011130000348202884,52,9.000000136438757e-05
117,49,0.00011549999180715531,55,0.00011130000348202884,53,9.030000364873558e-05
118,51,0.00011330000415910035,52,0.00010799999290611595,52,8.520000847056508e-05
119,47,0.00011130000348202884,49,0.00010699999984353781,49,8.510000770911574e-05
120,49,0.00011199999426025897,50,0.00010540000221226364,49,8.119999256450683e-05
121,47,0.00011649999942164868,53,0.00010720000136643648,52,8.739999611862004e-05
122,50,0.00011409999569877982,51,0.00010900000052060932,52,8.670000534038991e-05
123,50,0.00011369999265298247,52,0.00010840001050382853,52,8.430000161752105e-05
124,47,0.00011470000026747584,52,0.00010969999129883945,50,8.680000610183924e-05
125,47,0.00012909999350085855,54,0.00017040000238921493,54,0.00012830000196117908
126,53,0.00012329999299254268,51,0.00010910000128205866,52,9.309999586548656e-05
127,50,0.00014059999375604093,49,0.00012070000229869038,50,9.210000280290842e-05
128,49,0.00012129999231547117,51,0.00010859999747481197,51,8.820000221021473e-05
129,46,0.00011340000492054969,53,0.00010649999603629112,49,8.369999704882503e-05
130,52,0.00011530000483617187,54,0.00010720000136643648,50,8.319999324157834e-05
131,46,0.000112900001113303,49,0.000109500004327856,52,8.370001160074025e-05
132,49,0.0001145999995060265,51,0.00010710000060498714,49,8.490000618621707e-05
133,51,0.00011100000119768083,51,0.00010649999603629112,52,8.280000474769622e-05
134,45,0.00011249999806750566,52,0.0001033000007737428,50,8.259998867288232e-05
135,48,0.000112599998828955,52,0.00010830000974237919,53,8.740001067053527e-05
136,52,0.00011319998884573579,48,0.00010600000678095967,51,8.440000237897038e-05
137,51,0.00011330000415910035,51,0.00010790000669658184,52,8.380001236218959e-05
138,49,0.000112900001113303,50,0.00010540000221226364,50,8.440000237897038e-05
139,48,0.00011409999569877982,52,0.0001075999898603186,54,8.570001227781177e-05
140,53,0.00011320000339765102,48,0.00010819999442901462,51,8.370001160074025e-05
141,48,0.00019120000069960952,52,0.0001790999958757311,55,0.00014109999756328762
142,52,0.00018889999773819,53,0.00017430000298190862,53,0.00015060001169331372
143,52,0.00021600000036414713,52,0.00018479999562259763,50,0.00016320000577252358
144,50,0.0001244000013684854,49,0.00010959999053739011,52,8.820000221021473e-05
145,50,0.00011690000246744603,52,0.00014619999274145812,51,8.81000014487654e-05
146,48,0.00011609999637585133,53,0.000109500004327856,51,8.829998841974884e-05
147,48,0.00011509998876135796,52,0.00011000000813510269,53,0.00011239999730605632
148,50,0.00011850000009872019,50,0.00011059999815188348,51,8.949999755714089e-05
149,50,0.00011449999874457717,51,0.00010629999451339245,50,8.450000314041972e-05
150,49,0.00011409999569877982,48,0.00010659999679774046,52,8.370001160074025e-05
151,48,0.00011510000331327319,49,0.00010959999053739011,52,8.769999840296805e-05
152,50,0.00011330000415910035,52,0.00010710000060498714,48,8.269998943433166e-05
153,50,0.00011490000179037452,51,0.00010970000585075468,51,8.679999154992402e-05
154,47,0.0002212999970652163,51,0.0001478000049246475,53,0.00010030000703409314
155,50,0.00012170000991318375,51,0.00011039999662898481,52,8.659999002702534e-05
156,49,0.00011789999553002417,47,0.00010750000365078449,49,8.439998782705516e-05
157,46,0.00011479998647700995,52,0.00010720000136643648,50,8.209999941755086e-05
158,51,0.00011700000322889537,51,0.00011010000889655203,53,8.689999231137335e-05
159,45,0.000112900001113303,50,0.00010659999679774046,51,8.489999163430184e-05
160,50,0.00011609999637585133,52,0.00011049999739043415,50,8.329999400302768e-05
161,47,0.00011379999341443181,53,0.0001078000059351325,49,8.600000001024455e-05
162,50,0.00011709998943842947,51,0.00011020000965800136,53,8.900000830180943e-05
163,53,0.00011489998723845929,53,0.00010679999832063913,54,8.490000618621707e-05
164,47,0.00011340000492054969,53,0.0001066999975591898,53,8.420000085607171e-05
165,50,0.00011670000094454736,52,0.00010910000128205866,53,8.949999755714089e-05
166,52,0.000112599998828955,49,0.00010649999603629112,52,8.189999789465219e-05
167,47,0.00011159999121446162,50,0.00010850001126527786,48,8.480000542476773e-05
168,51,0.00016920000780373812,53,0.0001804000057745725,54,0.00010049999400507659
169,50,0.00014080000983085483,51,0.00012490000517573208,53,0.00011860000086016953
170,49,0.00012599999899975955,54,0.00012250000145286322,51,0.00012490000517573208
171,49,0.00012959999730810523,52,0.00010879999899771065,51,8.600000001024455e-05
172,51,0.00011550000635907054,51,0.0001078000059351325,51,8.779999916441739e-05
173,49,0.00011369999265298247,52,0.000106100007542409,51,8.319999324157834e-05
174,50,0.00011630001245066524,51,0.00011079999967478216,51,8.81000014487654e-05
175,49,0.00011439999798312783,52,0.00010639999527484179,52,8.350001007784158e-05
176,49,0.00011779999476857483,52,0.00011079999967478216,54,8.969999908003956e-05
177,50,0.00011489998723845929,53,0.00010850001126527786,53,8.740001067053527e-05
178,49,0.00011389999417588115,52,0.00010550000297371298,54,8.539999544154853e-05
179,48,0.00011410001025069505,52,0.00010930000280495733,53,8.540000999346375e-05
180,50,0.00011299998732283711,45,0.0001053000014508143,51,8.369999704882503e-05
181,49,0.000112599998828955,51,0.00010630000906530768,51,8.329999400302768e-05
182,47,0.00012880000576842576,51,0.0001779000012902543,52,0.00012129999231547117
183,46,0.00015589999384246767,46,0.00012240000069141388,50,0.0001331000094069168
184,52,0.00015969999367371202,55,0.00018309999722987413,52,0.00016460000188089907
185,48,0.00013370001397561282,52,0.00011280000035185367,52,9.220000356435776e-05
186,49,0.00011600001016631722,52,0.00010629999451339245,48,8.739999611862004e-05
187,49,0.00011470000026747584,49,0.00010719998681452125,54,8.760001219343394e-05
188,50,0.00011619999713730067,51,0.00010930000280495733,53,8.610000077169389e-05
189,45,0.00011500000255182385,51,0.00010819999442901462,49,8.679999154992402e-05
190,50,0.00011569999333005399,51,0.00011029999586753547,53,8.840000373311341e-05
191,50,0.00013359999866224825,53,0.0001058999914675951,51,8.55999969644472e-05
192,46,0.00011069999891333282,50,0.00010569998994469643,53,8.100000559352338e-05
193,50,0.00011269999959040433,50,0.00010420000762678683,51,8.009999874047935e-05
194,47,0.00011389999417588115,51,0.00010710000060498714,52,8.509999315720052e-05
195,46,0.00011100000119768083,50,0.0001053000014508143,50,8.270000398624688e-05
196,48,0.00013919999764766544,51,0.00010969999129883945,51,0.00010420000762678683
197,49,0.00011819999781437218,49,0.00010469999688211828,51,8.310000703204423e-05
198,48,0.00011979999544564635,52,0.00011130000348202884,53,9.099999442696571e-05
199,48,0.00011550000635907054,49,0.00010859999747481197,50,8.830000297166407e-05
200,51,0.00011610001092776656,53,0.00010770000517368317,54,8.749999688006938e-05
201,48,0.00011690000246744603,49,0.00010889999975915998,51,8.360001083929092e-05
202,47,0.00011529999028425664,51,0.00010869999823626131,51,8.740001067053527e-05
203,51,0.00011249999806750566,54,0.00010659999679774046,50,8.349999552592635e-05
204,49,0.00011480000102892518,51,0.00010940000356640667,52,8.730000990908593e-05
205,49,0.00011639999866019934,53,0.00010989999282173812,51,8.860000525601208e-05
206,49,0.00011529999028425664,51,0.00010990000737365335,52,0.00010379999002907425
207,49,0.00011740000627469271,52,0.00010770000517368317,53,8.490000618621707e-05
208,53,0.00011870000162161887,53,0.00011249999806750566,53,8.880000677891076e-05
